page(페이지),slug(게시물 url 식별값),title(게시물 제목),date(게시물 날짜),thumbnail_id(썸네일 이미지),image_ids(이미지 리스트),video_url(영상 링크)
archives,25-miyakojima,MIYAKOJIMA '25,2025-04-12,214archives/archives/25-miyakojima/thumbnail,214archives/archives/25-miyakojima/photo-01;214archives/archives/25-miyakojima/photo-02;214archives/archives/25-miyakojima/photo-03;214archives/archives/25-miyakojima/photo-04;214archives/archives/25-miyakojima/photo-05;214archives/archives/25-miyakojima/photo-06;214archives/archives/25-miyakojima/photo-07;214archives/archives/25-miyakojima/photo-08;214archives/archives/25-miyakojima/photo-09;214archives/archives/25-miyakojima/photo-10;214archives/archives/25-miyakojima/photo-11;214archives/archives/25-miyakojima/photo-12;214archives/archives/25-miyakojima/photo-13,
archives,25-newyork,NEWYORK '24,2024-08-30,214archives/archives/25-newyork/thumbnail,214archives/archives/25-newyork/photo-01;214archives/archives/25-newyork/photo-02;214archives/archives/25-newyork/photo-03;214archives/archives/25-newyork/photo-04;214archives/archives/25-newyork/photo-05;214archives/archives/25-newyork/photo-06;214archives/archives/25-newyork/photo-07;214archives/archives/25-newyork/photo-08;214archives/archives/25-newyork/photo-09;214archives/archives/25-newyork/photo-10;214archives/archives/25-newyork/photo-11;214archives/archives/25-newyork/photo-12;214archives/archives/25-newyork/photo-13;214archives/archives/25-newyork/photo-14;214archives/archives/25-newyork/photo-15;214archives/archives/25-newyork/photo-16;214archives/archives/25-newyork/photo-17;214archives/archives/25-newyork/photo-18;214archives/archives/25-newyork/photo-19;214archives/archives/25-newyork/photo-20;214archives/archives/25-newyork/photo-21;214archives/archives/25-newyork/photo-22;214archives/archives/25-newyork/photo-23;214archives/archives/25-newyork/photo-24;214archives/archives/25-newyork/photo-25;214archives/archives/25-newyork/photo-26;214archives/archives/25-newyork/photo-27;214archives/archives/25-newyork/photo-28;214archives/archives/25-newyork/photo-29;214archives/archives/25-newyork/photo-30;214archives/archives/25-newyork/photo-31;214archives/archives/25-newyork/photo-32;214archives/archives/25-newyork/photo-33;214archives/archives/25-newyork/photo-34;214archives/archives/25-newyork/photo-35;214archives/archives/25-newyork/photo-36;214archives/archives/25-newyork/photo-37;214archives/archives/25-newyork/photo-38;214archives/archives/25-newyork/photo-39;214archives/archives/25-newyork/photo-40;214archives/archives/25-newyork/photo-41;214archives/archives/25-newyork/photo-42;214archives/archives/25-newyork/photo-43;214archives/archives/25-newyork/photo-44;214archives/archives/25-newyork/photo-45;214archives/archives/25-newyork/photo-46;214archives/archives/25-newyork/photo-47;214archives/archives/25-newyork/photo-48;214archives/archives/25-newyork/photo-49;214archives/archives/25-newyork/photo-50;214archives/archives/25-newyork/photo-51;214archives/archives/25-newyork/photo-52;214archives/archives/25-newyork/photo-53,
archives,25-tokyo,Tokyo '25,2025-06-18,214archives/archives/25-tokyo/thumbnail,214archives/archives/25-tokyo/photo-01;214archives/archives/25-tokyo/photo-02;214archives/archives/25-tokyo/photo-03;214archives/archives/25-tokyo/photo-04;214archives/archives/25-tokyo/photo-05;214archives/archives/25-tokyo/photo-06;214archives/archives/25-tokyo/photo-07;214archives/archives/25-tokyo/photo-08;214archives/archives/25-tokyo/photo-09;214archives/archives/25-tokyo/photo-10;214archives/archives/25-tokyo/photo-11;214archives/archives/25-tokyo/photo-12;214archives/archives/25-tokyo/photo-13;214archives/archives/25-tokyo/photo-14;214archives/archives/25-tokyo/photo-15,
film,01-unveil,Unveil,2026-02-23,214archives/film/01-unveil/thumbnail,214archives/film/01-unveil/01;214archives/film/01-unveil/02;214archives/film/01-unveil/03;214archives/film/01-unveil/04;214archives/film/01-unveil/05;214archives/film/01-unveil/06;214archives/film/01-unveil/07;214archives/film/01-unveil/08,https://youtu.be/zCXXsKi0ucI?si=ZmX5N-XnVR0hNpKQ
film,02-set-it-off,Set It Off,2026-02-23,214archives/film/02-set-it-off/thumbnail,214archives/film/02-set-it-off/01;214archives/film/02-set-it-off/02;214archives/film/02-set-it-off/03;214archives/film/02-set-it-off/04;214archives/film/02-set-it-off/05;214archives/film/02-set-it-off/06;214archives/film/02-set-it-off/07;214archives/film/02-set-it-off/08,https://youtu.be/ZYsdtTsAw3o?si=kPXh4Fg63HUiSfuZ
film,03-not4nerd,Not4Nerd,2026-02-23,214archives/film/03-not4nerd/thumbnail,214archives/film/03-not4nerd/01;214archives/film/03-not4nerd/02;214archives/film/03-not4nerd/03;214archives/film/03-not4nerd/04;214archives/film/03-not4nerd/05;214archives/film/03-not4nerd/06;214archives/film/03-not4nerd/07;214archives/film/03-not4nerd/08,https://youtu.be/MLWohM_5e6Q?si=kL_Jl2t66BhyLUzH
film,04-ewha,Ewha,2026-02-23,214archives/film/04-ewha/thumbnail,214archives/film/04-ewha/01;214archives/film/04-ewha/02;214archives/film/04-ewha/03;214archives/film/04-ewha/04;214archives/film/04-ewha/05;214archives/film/04-ewha/06,https://youtu.be/o3hzeGvh9NQ?si=Fx5icu0i_oFzoXfS
film,05-all-at-once,All At Once,2026-02-23,214archives/film/05-all-at-once/thumbnail,,https://youtu.be/eilzomDSK5w?si=pbBBl-DIdb3wVRpM
film,06-never-forget,Never Forget,2026-02-23,214archives/film/06-never-forget/thumbnail,214archives/film/06-never-forget/01;214archives/film/06-never-forget/02;214archives/film/06-never-forget/03;214archives/film/06-never-forget/04;214archives/film/06-never-forget/05;214archives/film/06-never-forget/06;214archives/film/06-never-forget/07;214archives/film/06-never-forget/08,https://youtu.be/KpYlOKPSSJ4?si=d6kFc1-dFwqE8UZk
film,07-shanghai,Shanghai,2026-02-23,214archives/film/07-shanghai/thumbnail,214archives/film/07-shanghai/01;214archives/film/07-shanghai/02;214archives/film/07-shanghai/03;214archives/film/07-shanghai/04;214archives/film/07-shanghai/05;214archives/film/07-shanghai/06;214archives/film/07-shanghai/07;214archives/film/07-shanghai/08,https://youtu.be/cVQu7kwtWGE?si=9B1C9nRPjtDcEy3f
film,08-about,About,2026-02-23,214archives/film/08-about/thumbnail,214archives/film/08-about/01;214archives/film/08-about/02;214archives/film/08-about/03;214archives/film/08-about/04;214archives/film/08-about/05;214archives/film/08-about/06,https://youtu.be/uif5b0nd8QE?si=-WGPEjg-ImEXePok
personal,about-me,About Me Project,2026-02-23,214archives/personal/about-me/thumbnail,214archives/personal/about-me/photo-01,
personal,pony-project,PONY Project,2026-02-23,214archives/personal/pony-project/thumbnail,214archives/personal/pony-project/photo-01;214archives/personal/pony-project/photo-02;214archives/personal/pony-project/photo-03;214archives/personal/pony-project/photo-04;214archives/personal/pony-project/photo-05;214archives/personal/pony-project/photo-06;214archives/personal/pony-project/photo-07,
photography,lookbook-bready,Product work for B.Ready ,2026-02-23,214archives/photography/lookbook-bready/thumbnail,214archives/photography/lookbook-bready/photo-01;214archives/photography/lookbook-bready/photo-02;214archives/photography/lookbook-bready/photo-03;214archives/photography/lookbook-bready/photo-04,
photography,lookbook-cau-fashion,LookBook for CAU dept. Fashion Design ,2026-02-23,214archives/photography/lookbook-cau-fashion/thumbnail,214archives/photography/lookbook-cau-fashion/photo-01;214archives/photography/lookbook-cau-fashion/photo-02;214archives/photography/lookbook-cau-fashion/photo-03;214archives/photography/lookbook-cau-fashion/photo-04;214archives/photography/lookbook-cau-fashion/photo-05;214archives/photography/lookbook-cau-fashion/photo-06;214archives/photography/lookbook-cau-fashion/photo-07,
photography,lookbook-kimaeyoung,Profile work for KimAeYoung ,2026-02-23,214archives/photography/lookbook-kimaeyoung/thumbnail,214archives/photography/lookbook-kimaeyoung/photo-01;214archives/photography/lookbook-kimaeyoung/photo-02;214archives/photography/lookbook-kimaeyoung/photo-03;214archives/photography/lookbook-kimaeyoung/photo-04;214archives/photography/lookbook-kimaeyoung/photo-05,
photography,lookbook-lark,Profile work for LARK,2026-02-23,214archives/photography/lookbook-lark/thumbnail,214archives/photography/lookbook-lark/photo-01;214archives/photography/lookbook-lark/photo-02;214archives/photography/lookbook-lark/photo-03,
photography,lookbook-not4nerd,LookBook for NOT4NERD,2026-02-23,214archives/photography/lookbook-not4nerd/thumbnail,214archives/photography/lookbook-not4nerd/photo-01;214archives/photography/lookbook-not4nerd/photo-02;214archives/photography/lookbook-not4nerd/photo-03;214archives/photography/lookbook-not4nerd/photo-04;214archives/photography/lookbook-not4nerd/photo-05;214archives/photography/lookbook-not4nerd/photo-06;214archives/photography/lookbook-not4nerd/photo-07;214archives/photography/lookbook-not4nerd/photo-08;214archives/photography/lookbook-not4nerd/photo-09,
photography,lookbook-youth,Concept work for YOUTH,2026-02-23,214archives/photography/lookbook-youth/thumbnail,214archives/photography/lookbook-youth/photo-01;214archives/photography/lookbook-youth/photo-02;214archives/photography/lookbook-youth/photo-03;214archives/photography/lookbook-youth/photo-04;214archives/photography/lookbook-youth/photo-05;214archives/photography/lookbook-youth/photo-06,
showreel,showreel,2025 Showreel,2026-02-23,214archives/showreel/2025-thumb,,https://youtu.be/gpMopox52mE
